timestamp,userId,planId,amountInKobo,amount,paymentMethod,kind,durationType,durationValue
2026-09-01T08:50:10.599Z,k97ewj26gbkx36amgcz2b404dx81xrpr,month,62500,,bank_transfer,paid,fullday,
2026-09-01T08:51:34.386Z,k97e42yx3q8dkpmyheew1bjdq9821z96,,,,,free,,
2026-09-01T09:00:51.512Z,k970q7c0kds5wher2gmtf7k49d80e827,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-01T10:43:23.527Z,k9734nxpv51rdc5vb71xek5e7n85a0wm,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-01T10:43:48.903Z,k97c9cvv1j82evdw5d6ajzqxjd7fce3q,daily,3000,,bank_transfer,paid,hourly,5
2026-09-01T11:19:12.893Z,k97bw35nve3yvy2c7wkp9vzfk17fazcv,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-01T12:42:11.128Z,k977bmqfeg71frfnehzydjn6n186texe,,,,,free,,
2026-09-01T13:07:51.503Z,k97ajpe46rskxp208wfkqjx1r58djs57,,,,,free,,
2026-09-01T14:07:30.853Z,k97f79phencnwhy3b81f9kn9n589dqmk,month,62500,,bank_transfer,paid,fullday,
2026-09-02T07:58:30.262Z,k971yx022y5fgkst9gwkc1heqs8bemyz,month,62500,,bank_transfer,paid,fullday,
2026-09-02T10:43:45.220Z,k977bmqfeg71frfnehzydjn6n186texe,,,,,free,,
2026-09-02T10:46:39.098Z,k97ese3c153ws3ysyvax4dydph8dnyw2,,,,,free,,
2026-09-02T10:48:02.012Z,k9734nxpv51rdc5vb71xek5e7n85a0wm,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-02T10:48:14.966Z,k97ewj26gbkx36amgcz2b404dx81xrpr,month,62500,,bank_transfer,paid,fullday,
2026-09-02T12:30:10.710Z,k97f79phencnwhy3b81f9kn9n589dqmk,month,62500,,bank_transfer,paid,fullday,
2026-09-02T12:30:59.559Z,k97dwj944cbs1evwmp0kyq2wt58dmk18,daily,3000,,cash,paid,fullday,
2026-09-02T12:35:48.090Z,k97epfg0265ejg475q2zpqpf0s7n67nd,daily,3000,,bank_transfer,paid,fullday,
2026-09-03T10:57:49.486Z,k9734nxpv51rdc5vb71xek5e7n85a0wm,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-03T11:00:31.371Z,k971yx022y5fgkst9gwkc1heqs8bemyz,month,62500,,bank_transfer,paid,fullday,
2026-09-03T11:01:38.041Z,k97a3fgv0n9ef51hxffd25kjp58cwnhw,month,62500,,bank_transfer,paid,fullday,
2026-09-03T11:02:57.897Z,k97bw35nve3yvy2c7wkp9vzfk17fazcv,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-03T11:03:37.617Z,k97ewj26gbkx36amgcz2b404dx81xrpr,month,62500,,bank_transfer,paid,fullday,
2026-09-03T11:05:44.983Z,k970t5126gt4vnmf7hk6tj4wd189100r,month,62500,,bank_transfer,paid,fullday,
2026-09-03T11:10:56.107Z,k97fybfpjn2nrjfdvxknc8z1wx8453wg,,,,,free,,
2026-09-03T11:16:52.780Z,k97d1csns5yyx7mtecb975kchh8dqrd7,,,,,free,,
2026-09-03T12:26:31.798Z,k97c9cvv1j82evdw5d6ajzqxjd7fce3q,daily,3000,,bank_transfer,paid,fullday,
2026-09-03T14:15:51.275Z,k976sb1nq4bzsn4t026148q54s871ynv,month,62500,,bank_transfer,paid,fullday,
2026-09-03T16:05:02.637Z,k97ecavk9gfk281yzjgkf8sgdd8462xe,month,62500,,bank_transfer,paid,fullday,
2026-09-04T07:47:31.458Z,k971yx022y5fgkst9gwkc1heqs8bemyz,month,62500,,bank_transfer,paid,fullday,
2026-09-04T08:43:38.796Z,k970q7c0kds5wher2gmtf7k49d80e827,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-04T09:05:08.271Z,k973zyp89rke7qrqhxgjtjdpp17nnar6,daily,3000,,bank_transfer,paid,hourly,4
2026-09-04T09:37:12.278Z,k97ecavk9gfk281yzjgkf8sgdd8462xe,month,62500,,bank_transfer,paid,fullday,
2026-09-04T10:22:51.674Z,k97a3fgv0n9ef51hxffd25kjp58cwnhw,month,62500,,bank_transfer,paid,fullday,
2026-09-04T10:23:59.743Z,k97e42yx3q8dkpmyheew1bjdq9821z96,,,,,free,,
2026-09-04T12:49:55.832Z,k97f79phencnwhy3b81f9kn9n589dqmk,month,62500,,bank_transfer,paid,fullday,
2026-09-04T16:24:04.801Z,k97bw35nve3yvy2c7wkp9vzfk17fazcv,month,66666.66666666667,,bank_transfer,paid,fullday,
2026-09-04T16:24:21.100Z,k97chhc78pz0j4xswh5ytpw50h8dhz4m,daily,3000,,cash,paid,hourly,1
2026-09-05T09:08:03.193Z,k978jb9j6wa0s6bt6w9pdkfwts8dvdg5,,,,,free,,
2026-09-05T09:10:41.844Z,k974awnn2a2cnyxwzd4mr9ne1s8dt2pm,,,,,free,,
2026-09-05T09:12:35.860Z,k9768nkn3ptfw9pcqbna0kj1058dvp9d,,,,,free,,
2026-09-05T09:21:02.540Z,k9721azw72vx9c3pjqs290card8dtfqe,,,,,free,,
2026-09-05T09:22:09.169Z,k971yx022y5fgkst9gwkc1heqs8bemyz,month,62500,,bank_transfer,paid,fullday,
2026-09-05T09:49:35.892Z,k97f79phencnwhy3b81f9kn9n589dqmk,month,62500,,bank_transfer,paid,fullday,
2026-09-05T11:13:00.061Z,k97cyrv3wczdbhdh3aapzff4q18dv38d,,,,,free,,
2026-09-05T11:21:32.822Z,k97bdyrbr770ybxn3gz3a4cqen8dvztv,,,,,free,,
2026-09-05T11:23:50.256Z,k97c7r1ghmzv7rcymc2w3c9vjh8dvkvk,,,,,free,,
2026-09-05T11:30:28.895Z,k97474msq4wnjh8gg86gdg4zxd8dt0jd,,,,,free,,
2026-09-05T13:03:25.499Z,k97b6k5pk5sjbjmtnmgzm5bjch7hajf3,daily,3000,,bank_transfer,paid,hourly,3
2026-09-05T13:24:31.153Z,k971n80d4tfkdjy4fn58taggan8dtj88,,,,,free,,
2026-09-07T09:40:39.737Z,k971yx022y5fgkst9gwkc1heqs8bemyz,month,62500,,bank_transfer,paid,fullday,
2026-09-07T09:41:46.713Z,k97bw35nve3yvy2c7wkp9vzfk17fazcv,month,66666.66666666667,,bank_transfer,paid,fullday,
